,Name,Album,Artist,URL
69,Single Soon,Single Soon,Selena Gomez,https://open.spotify.com/track/6iF4RgIjDvDqyW13PezSj3
70,Hold Me Closer,The Lockdown Sessions,Elton John,https://open.spotify.com/track/5TJEBoTCDbJXiKMdCN9pd3
71,lil' freak,lil' freak,bbno$,https://open.spotify.com/track/6guIMfoWJvsCXQxNsAtWPN
72,Heaven,The Show,Niall Horan,https://open.spotify.com/track/5FQ77Cl1ndljtwwImdtjMy
73,Tenerife Sea - Live,+-=÷× (Tour Collection: Live),Ed Sheeran,https://open.spotify.com/track/4sqW02Ul637AmGJbN0giXz
74,That Part,That Part,Lauren Spencer Smith,https://open.spotify.com/track/7vfCm8tEWV9lCpyY1nvJVB
75,C'est La Vie (with bbno$ & Rich Brian),C'est La Vie,Yung Gravy,https://open.spotify.com/track/0cgy8EueqwMuYzOZrW5vPB
76,Satellite,Bebe,Bebe Rexha,https://open.spotify.com/track/6OfzzfjroJzZND83Mc9aXG
77,Million Dollar Baby,Million Dollar Baby,Ava Max,https://open.spotify.com/track/3pPN20syOYvbUuEiBpbenI
78,Younger And Hotter Than Me,I Said I Love You First,Selena Gomez,https://open.spotify.com/track/4XKCwXacGJ0Am1s7oD2rDM
79,Duro,Duro,MIRA,https://open.spotify.com/track/3lT8VPTKd1Jlztq6IZNIcf
80,Now Or Never,Now Or Never,Pitbull,https://open.spotify.com/track/5hG7MlKPCqUgtdwROUbBRS
81,Never Gonna Not Dance Again,Never Gonna Not Dance Again,P!nk,https://open.spotify.com/track/0Uv0h4QmjeR9ew5AjyBR3i
82,Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneé Rapp,https://open.spotify.com/track/1uQvn6qvdkWRNiA7Lol9BT
83,Who We Love,Прайд България 2023,Various Artists,https://open.spotify.com/track/1pWMoBzZ8IhJnOzZvehFNo
84,River,Endless Summer Vacation,Miley Cyrus,https://open.spotify.com/track/1yampU2t2LNWzEsCpUgHYJ
85,Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,https://open.spotify.com/track/4f9wNNZET9wH7eMBgONd3d
86,Been Thinking,Been Thinking,Tyla,https://open.spotify.com/track/2TDovGBTIpZ6zXKeyhsFzz
87,AM:PM,AM:PM,NOTD,https://open.spotify.com/track/7DwVS1naLT9jP0PE78jg4P
88,GIRLS,GIRLS,The Kid LAROI,https://open.spotify.com/track/7z3PblAN3dH1JMewiRydkZ
89,Slow Low,Body Count,Jason Derulo,https://open.spotify.com/track/3PqXWakY7SThZBOb8e4Vcq
