Name,Album,Artist,URL,Language
"Madanmanjiri - From ""Phullwanti""","Madanmanjiri (From ""Phullwanti"")",Vaishali Made,https://open.spotify.com/track/6kB4DcotytyuuwzJPIJpTb,marathi
Phullwanti - Title Track,Phullwanti - Title Track,Aarya Ambekar,https://open.spotify.com/track/2mNLfpReLcvDEtgozUcZkY,marathi
"Hey Sharade - From ""Phullwanti""","Hey Sharade (From ""Phullwanti"")",Rahul Deshpande,https://open.spotify.com/track/7jYLBkF8AX9uCEnycG05iF,marathi
Nazar Kadh Deva,Timepass 3 (Original Motion Picture Soundtrack),Amitraj,https://open.spotify.com/track/1kB4KBG5evWMyeTEEQXLjH,marathi
Hich Amuchi Praarthana,Ubuntu (Original Motion Picture Soundtrack),Kaushal Inamdar,https://open.spotify.com/track/0nk9m1Oc8UVJ07WDoCnNYY,marathi
Vadalvat,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/2pCAZ4SgZogNULflxh1Zu8,marathi
Aabhalmaya,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/4NUsv3cSVe0KzTFoUIeS9c,marathi
SaReGaMaPa,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/7GOAVTUvNSSGJqWf1P39yy,marathi
Tula Pahate Re,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/6FMFLx0094sVJDmimZD17x,marathi
Avaghachi Ha Sansar,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/6T7qRuiGsyvISTFjcjeOnA,marathi
Khulta Kali Khulena,Zee Marathi Show Title Songs,Ashok Patki,https://open.spotify.com/track/5PmuKgkWKUaHaxjC8vOMPF,marathi
Ba Vitthala Dhav Pavre,Hari Om Vithala,Suresh Wadkar,https://open.spotify.com/track/3jC943XX5BgQaH17qqRGz9,marathi
Mangalashtaka,Basta (Original Motion Picture Soundtrack),Santosh Mulekar,https://open.spotify.com/track/0lGqOYJ8muz0s0fIL3fbn7,marathi
Kase Sartil Saye,Diwas Ase Ki,Shailesh Ranade,https://open.spotify.com/track/1r5vcVkV5zZeCC77KmwF7S,marathi
Vandan Ho,Sangeet Manapmaan,Shankar-Ehsaan-Loy,https://open.spotify.com/track/6inDeX5fz1Z1wztudSyd6J,marathi
Tu Abhaal,Yek Number,Ajay-Atul,https://open.spotify.com/track/4zmilDG2k8ezL51BFcbtSm,marathi
Aai Bhavani,Savarkhed Ek Gaon (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/32stfVXv4tsRSru2Ot14Dx,marathi
Kevadyacha Paan Tu,Sarla Ek Koti (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/3ht7pLDpBgbIehuyfIn3mL,marathi
Raja Aala,Pawankhind,Devdutta Manisha Baji,https://open.spotify.com/track/5KgfY2vMoHk26aGvchrr7Q,marathi
Lallati Bhandar - Ambabaicha Gondhal,Jogwa (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0kt9xGWGomC6OGFXkwLY5k,marathi
Shoorveer III,Shoorveer III,Rapperiya Baalam,https://open.spotify.com/track/7vl5itLV1s8yj7Rqm2LKaH,marathi
Mazya Dolyatil Kajal,Mazya Dolyatil Kajal,Vrushabh Kathale,https://open.spotify.com/track/3vUHwNFA74oKReW3RsgvK3,marathi
